,Entry Date,Exit Date,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
15,2022-09-07 04:00:00+00:00,2022-09-08 04:00:00+00:00,155.96,154.46,155.96,154.46,-1.5
16,2022-09-09 04:00:00+00:00,2022-09-13 04:00:00+00:00,157.37,153.84,157.37,153.84,-3.530000000000001
17,2022-09-14 04:00:00+00:00,2022-09-15 04:00:00+00:00,155.31,152.37,155.31,152.37,-2.9399999999999977
18,2022-09-19 04:00:00+00:00,2022-09-21 04:00:00+00:00,154.48,153.72,154.48,153.72,-0.7599999999999909
19,2022-09-26 04:00:00+00:00,2022-09-28 04:00:00+00:00,150.77,149.84,150.77,149.84,-0.9300000000000068
20,2022-10-03 04:00:00+00:00,2022-10-06 04:00:00+00:00,142.45,145.43,142.45,145.43,2.980000000000018
21,2022-10-10 04:00:00+00:00,2022-10-11 04:00:00+00:00,140.42,138.98,140.42,138.98,-1.4399999999999977
22,2022-10-13 04:00:00+00:00,2022-10-14 04:00:00+00:00,142.99,138.38,142.99,138.38,-4.610000000000014
23,2022-10-17 04:00:00+00:00,2022-10-20 04:00:00+00:00,142.41,143.39,142.41,143.39,0.9799999999999898
24,2022-10-21 04:00:00+00:00,2022-10-26 04:00:00+00:00,147.27,149.35,147.27,149.35,2.079999999999984
25,2022-10-28 04:00:00+00:00,2022-10-31 04:00:00+00:00,155.74,153.34,155.74,153.34,-2.4000000000000057
26,2022-11-07 05:00:00+00:00,2022-11-09 05:00:00+00:00,138.92,134.87,138.92,134.87,-4.049999999999983
27,2022-11-10 05:00:00+00:00,2022-11-14 05:00:00+00:00,146.87,148.28,146.87,148.28,1.4099999999999966
28,2022-11-15 05:00:00+00:00,2022-11-16 05:00:00+00:00,150.04,148.79,150.04,148.79,-1.25
29,2022-11-17 05:00:00+00:00,2022-11-21 05:00:00+00:00,150.72,148.01,150.72,148.01,-2.710000000000008
30,2022-11-22 05:00:00+00:00,2022-11-25 05:00:00+00:00,150.18,148.11,150.18,148.11,-2.069999999999993
31,2022-11-30 05:00:00+00:00,2022-12-02 05:00:00+00:00,148.03,147.81,148.03,147.81,-0.21999999999999886
32,2022-12-08 05:00:00+00:00,2022-12-09 05:00:00+00:00,142.65,142.16,142.65,142.16,-0.4900000000000091
33,2022-12-12 05:00:00+00:00,2022-12-14 05:00:00+00:00,144.49,143.21,144.49,143.21,-1.2800000000000011
