,Entry Date,Exit Date,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
57,2023-03-23 04:00:00+00:00,2023-03-24 04:00:00+00:00,192.22,190.41,192.22,190.41,-1.8100000000000023
58,2023-03-27 04:00:00+00:00,2023-03-28 04:00:00+00:00,191.81,189.19,191.81,189.19,-2.6200000000000045
59,2023-03-29 04:00:00+00:00,2023-04-03 04:00:00+00:00,193.88,194.77,193.88,194.77,0.8900000000000148
60,2023-04-11 04:00:00+00:00,2023-04-12 04:00:00+00:00,186.79,180.54,186.79,180.54,-6.25
61,2023-04-13 04:00:00+00:00,2023-04-14 04:00:00+00:00,185.9,185.0,185.9,185.0,-0.9000000000000057
62,2023-04-17 04:00:00+00:00,2023-04-18 04:00:00+00:00,187.04,184.31,187.04,184.31,-2.7299999999999898
63,2023-04-21 04:00:00+00:00,2023-04-24 04:00:00+00:00,165.06,162.55,165.06,162.55,-2.509999999999991
64,2023-04-27 04:00:00+00:00,2023-05-01 04:00:00+00:00,160.19,161.83,160.19,161.83,1.6400000000000148
65,2023-05-03 04:00:00+00:00,2023-05-09 04:00:00+00:00,160.6082,169.15,160.6082,169.15,8.541799999999995
66,2023-05-11 04:00:00+00:00,2023-05-12 04:00:00+00:00,172.08,167.98,172.08,167.98,-4.100000000000023
