timestamp,AAPL_close,MSFT_close
2022-02-02 05:00:00+00:00,175.84,313.46
2022-02-03 05:00:00+00:00,172.9,301.25
2022-02-04 05:00:00+00:00,172.39,305.94
2022-02-07 05:00:00+00:00,171.66,300.95
2022-02-08 05:00:00+00:00,174.83,304.56
2022-02-09 05:00:00+00:00,176.28,311.21
2022-02-10 05:00:00+00:00,172.12,302.38
2022-02-11 05:00:00+00:00,168.64,295.04
2022-02-14 05:00:00+00:00,168.88,295.0
2022-02-15 05:00:00+00:00,172.79,300.47
2022-02-16 05:00:00+00:00,172.55,299.5
2022-02-17 05:00:00+00:00,168.88,290.73
2022-02-18 05:00:00+00:00,167.3,287.93
2022-02-22 05:00:00+00:00,164.32,287.72
2022-02-23 05:00:00+00:00,160.24,280.34
2022-02-24 05:00:00+00:00,162.51,294.59
2022-02-25 05:00:00+00:00,164.85,297.31
2022-02-28 05:00:00+00:00,165.12,298.79
2022-03-01 05:00:00+00:00,163.2,294.95
2022-03-02 05:00:00+00:00,166.56,300.19
2022-03-03 05:00:00+00:00,166.23,295.92
2022-03-04 05:00:00+00:00,163.17,289.86
2022-03-07 05:00:00+00:00,159.3,278.91
2022-03-08 05:00:00+00:00,157.44,275.85
2022-03-09 05:00:00+00:00,162.95,288.5
2022-03-10 05:00:00+00:00,158.52,285.59
2022-03-11 05:00:00+00:00,154.73,280.07
2022-03-14 04:00:00+00:00,150.62,276.44
2022-03-15 04:00:00+00:00,155.09,287.15
2022-03-16 04:00:00+00:00,159.59,294.39
2022-03-17 04:00:00+00:00,160.62,295.22
2022-03-18 04:00:00+00:00,163.98,300.43
2022-03-21 04:00:00+00:00,165.38,299.16
2022-03-22 04:00:00+00:00,168.82,304.06
2022-03-23 04:00:00+00:00,170.21,299.49
2022-03-24 04:00:00+00:00,174.07,304.1
2022-03-25 04:00:00+00:00,174.72,303.68
2022-03-28 04:00:00+00:00,175.6,310.7
2022-03-29 04:00:00+00:00,178.96,315.41
2022-03-30 04:00:00+00:00,177.77,313.86
2022-03-31 04:00:00+00:00,174.61,308.31
2022-04-01 04:00:00+00:00,174.31,309.42
2022-04-04 04:00:00+00:00,178.44,314.97
2022-04-05 04:00:00+00:00,175.06,310.88
2022-04-06 04:00:00+00:00,171.6,299.4
2022-04-07 04:00:00+00:00,172.17,301.37
2022-04-08 04:00:00+00:00,170.09,296.97
2022-04-11 04:00:00+00:00,165.79,285.26
2022-04-12 04:00:00+00:00,167.66,282.06
2022-04-13 04:00:00+00:00,170.4,287.62
2022-04-14 04:00:00+00:00,165.29,279.83
2022-04-18 04:00:00+00:00,165.07,280.52
2022-04-19 04:00:00+00:00,167.4,285.3
2022-04-20 04:00:00+00:00,167.23,286.36
2022-04-21 04:00:00+00:00,166.42,280.81
2022-04-22 04:00:00+00:00,161.79,274.03
2022-04-25 04:00:00+00:00,162.88,280.72
2022-04-26 04:00:00+00:00,156.8,270.22
2022-04-27 04:00:00+00:00,156.57,283.22
2022-04-28 04:00:00+00:00,163.64,289.63
2022-04-29 04:00:00+00:00,157.65,277.52
2022-05-02 04:00:00+00:00,157.96,284.47
